id_poligono;id_distrito;nombre_distrito;provincia;id_seccion;nombre_seccion;localidad;score_promedio;q_geo;indice_geo;q_estimada;q_personaspriorizadas;indice_hogares;hogares_estimados;observado;shape_texto
39;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";52.255436276193635;5942;0.8211;7236.6338;5431;2.01004;3600.247431894613;0;"POLYGON((-37.950181 -57.557931,-37.956171 -57.546215,-37.965476 -57.553811,-37.959216 -57.566214,-37.950181 -57.557931))"
40;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";29.41133333333333;17;0.8211;20.7039;1;2.01004;10.300270336754211;1;"POLYGON((-38.001331 -57.727919,-38.007722 -57.718778,-38.008026 -57.728562,-38.005084 -57.733412,-38.001331 -57.727919))"
41;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";29.530583190394513;626;0.8211;762.3919;39;2.01004;379.2923077021173;0;"POLYGON((-38.008297 -57.728391,-38.008026 -57.718906,-38.007654 -57.718263,-38.007417 -57.709894,-38.007282 -57.705045,-38.006606 -57.701011,-38.006369 -57.696548,-38.009615 -57.700152,-38.013842 -57.705173,-38.012253 -57.707362,-38.013876 -57.709293,-38.012388 -57.711053,-38.01445 -57.714057,-38.009886 -57.719808,-38.011407 -57.724185,-38.008297 -57.728391))"
42;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";28.86778846153846;113;0.8211;137.6203;3;2.01004;68.4665028277724;1;"POLYGON((-38.006031 -57.720666,-38.003867 -57.719979,-38.001533 -57.72294,-38.000113 -57.720966,-38.001872 -57.71852,-38.000891 -57.716975,-38.004374 -57.713456,-38.003393 -57.71234,-38.00576 -57.70895,-38.002852 -57.705646,-38.004645 -57.702942,-38.002954 -57.700839,-38.002548 -57.70144,-38.00062 -57.698522,-38.001872 -57.696419,-38.003562 -57.697663,-38.004712 -57.69599,-38.006031 -57.696505,-38.006437 -57.701054,-38.007079 -57.705173,-38.007485 -57.718692,-38.006031 -57.720666))"
44;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";36.509545454545446;137;0.8211;166.8493;27;2.01004;83.0080609507757;1;"POLYGON((-38.119527 -57.610631,-38.115543 -57.605867,-38.122127 -57.597198,-38.12655 -57.601748,-38.119527 -57.610631))"
45;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";36.42508108108109;194;0.8211;236.2684;64;2.01004;117.5442614920379;1;"POLYGON((-38.121823 -57.597198,-38.11551 -57.605696,-38.111188 -57.600718,-38.1174 -57.592392,-38.121823 -57.597198))"
46;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";35.5895;100;0.8211;121.7878;16;2.01004;60.58982551151875;1;"POLYGON((-38.147882 -57.634492,-38.152877 -57.6193,-38.160099 -57.627668,-38.155948 -57.637496,-38.154295 -57.636809,-38.150144 -57.635908,-38.147882 -57.634492))"
48;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";43.071180243745914;3222;0.8211;3924.0044;2398;2.01004;1952.204177981104;0;"POLYGON((-37.940908 -57.568059,-37.953294 -57.577844,-37.951163 -57.581534,-37.943954 -57.583036,-37.94348 -57.580633,-37.942127 -57.579346,-37.940976 -57.579432,-37.940299 -57.576685,-37.939961 -57.575183,-37.940536 -57.574153,-37.93969 -57.572565,-37.940367 -57.56999,-37.940908 -57.568059))"
49;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";43.3167893401015;807;0.8211;982.8279;601;2.01004;488.9598918779015;0;"POLYGON((-37.940874 -57.590418,-37.94013 -57.589517,-37.940401 -57.588744,-37.942567 -57.587585,-37.942634 -57.587028,-37.942702 -57.586341,-37.943311 -57.586083,-37.944563 -57.584667,-37.944462 -57.583294,-37.951163 -57.581792,-37.947846 -57.588615,-37.940874 -57.590418))"
50;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";55.94515093826481;3767;0.8211;4587.7481;3511;2.01004;2282.418727018956;0;"POLYGON((-37.965746 -57.553725,-37.971227 -57.542353,-37.978264 -57.543769,-37.971159 -57.55806,-37.965746 -57.553725))"
51;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";55.78717070992694;6894;0.8211;8396.0541;6417;2.01004;4177.062570764291;0;"POLYGON((-37.971295 -57.558146,-37.978568 -57.543426,-37.98557 -57.544756,-37.976572 -57.56248,-37.971295 -57.558146))"
